[9],Compound::DB04216,-0.18688328564167023
[11],Compound::DB06774,-0.19255074858665466
[14],Compound::DB00783,-0.2299804985523224
[18],Compound::DB00295,-0.2566777765750885
[22],Compound::DB09341,-0.2751040458679199
[23],Compound::DB00143,-0.2776491940021515
[24],Compound::DB00363,-0.27810731530189514
[28],Compound::DB04540,-0.29065170884132385
[30],Compound::DB00907,-0.29810670018196106
[31],Compound::DB00917,-0.30059951543807983
[38],Compound::DB00661,-0.32687801122665405
[41],Compound::DB01026,-0.33165428042411804
[42],Compound::DB01183,-0.3405590057373047
[43],Compound::DB01320,-0.3436819016933441
[44],Compound::DB00252,-0.34487298130989075
[47],Compound::DB00624,-0.35275229811668396
[48],Compound::DB01223,-0.35356780886650085
[49],Compound::DB00477,-0.3542790412902832
[50],Compound::DB00563,-0.3568020462989807
